City_ID,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,whakatane,24.6841,113.5984,17.77,23,0,0.51,CN,1704341112
371,pangai,53.7333,119.7667,-19.01,88,100,0.45,RU,1704341112
372,amga,37.5082,13.0881,14.25,81,30,1.92,IT,1704341113
373,myeik,47.7227,-122.7145,8.47,91,100,0.89,US,1704341113
374,consett,55.5363,28.6424,-13.15,90,100,5.45,BY,1704341113
375,vilyuchinsk,29.82,-5.72,11.94,30,83,1.5,MA,1704341113
376,east london,50.0163,-125.2446,7.74,100,100,5.14,CA,1704341114
377,tura,59.3203,24.5525,-15.22,53,13,7.72,EE,1704341114
378,polyarnyy,29.452,55.6814,6.49,69,1,1.88,IR,1704341114
379,gao,43.8161,18.5694,3.86,100,75,1.03,BA,1704341114
381,jacmel,44.7561,136.2939,-2.27,41,31,1.0,RU,1704341115
384,hotan,45.5234,-122.6762,9.14,92,100,3.09,US,1704340555
385,roma,63.9381,65.0419,-25.88,94,58,3.35,RU,1704341116
386,fort bragg,7.7102,81.6924,27.55,73,89,3.48,LK,1704341116
387,swakopmund,0.5333,72.9333,28.19,73,83,1.94,MV,1704341117
388,aja,8.7833,-82.4333,19.78,90,72,2.03,PA,1704341117
389,maba,53.8,64.15,-5.14,85,100,6.77,KZ,1704341117
391,sciacca,45.5549,-0.8967,10.13,89,29,3.05,FR,1704341118
392,bangor trident base,43.4065,-124.2243,8.81,93,75,4.12,US,1704341118
393,navapolatsk,30.9753,41.0381,7.01,100,1,2.06,SA,1704341118
394,mhamid,4.75,-55.1667,23.96,81,19,3.64,SR,1704340936
396,saue,43.3236,145.575,-0.69,64,41,3.48,JP,1704341119
397,sirjan,9.8251,169.3107,27.12,81,63,9.77,MH,1704341119
398,pale,42.2506,-75.833,1.05,90,100,0.45,US,1704341119
400,plastun,13.7667,109.2333,24.52,71,91,6.65,VN,1704341120
402,pisco,45.1667,10.7833,5.61,88,32,3.59,IT,1704341120
405,batticaloa,17.3333,-98.0167,12.64,81,0,1.43,MX,1704341121
406,inekar,62.1444,117.6319,-23.2,96,100,0.66,RU,1704341121
407,thinadhoo,38.7992,-9.4469,16.29,97,99,8.05,PT,1704341121
408,boquete,57.7214,-3.2834,5.66,91,40,5.66,GB,1704341122
409,borovskoy,51.2167,-102.4677,-13.09,85,20,2.06,CA,1704341122
410,itupiranga,49.6339,63.4981,-2.79,80,100,6.63,KZ,1704341122
411,la passe,41.0094,71.2287,-1.34,46,55,1.7,UZ,1704341017
412,north bend,56.1725,107.4458,-9.79,96,100,4.43,RU,1704341123
414,brokopondo,29.4,112.15,13.51,33,19,4.07,CN,1704341123
415,darwin,51.75,-0.3333,8.42,92,100,5.66,GB,1704341124
417,likiep,17.0151,54.0924,23.01,35,30,3.25,OM,1704341037
418,broome,42.7767,59.6078,3.05,59,100,3.01,UZ,1704341124
419,kerema,5.46,-9.5828,25.95,83,12,2.55,LR,1704341125
420,qui nhon,14.8667,-24.7167,21.22,65,95,10.39,CV,1704341125
421,mwatate,44.6995,-73.4529,2.43,86,100,0.89,US,1704341125
422,mantua,53.5001,-112.0518,-7.61,86,57,1.03,CA,1704340864
423,santa cruz,10.1483,-85.452,24.32,82,72,0.88,CR,1704341125
425,santiago juxtlahuaca,10.8469,4.0984,20.83,18,25,2.14,NG,1704341126
427,colares,16.8634,-99.8901,26.9,78,20,2.06,MX,1704341000
428,lossiemouth,37.0667,21.6333,11.86,81,98,2.61,GR,1704341127
429,elmendorf air force base,60.9847,32.9698,-29.85,99,6,1.76,RU,1704341127
431,torghay,54.8636,-6.2763,7.69,97,88,3.46,GB,1704341128
432,chust,63.8385,23.1307,-25.04,74,0,1.03,FI,1704341128
433,magistral'nyy,53.1413,-4.2702,9.23,31,100,9.26,GB,1704341128
434,sambava,37.7333,-25.6667,16.4,88,40,4.63,PT,1704341128
435,anxiang,59.2667,5.1833,-2.55,50,100,3.09,NO,1704341129
437,sechura,63.4453,120.3167,-29.49,97,100,2.05,RU,1704341129
438,salalah,1.3673,173.1241,26.98,94,100,5.66,KI,1704341129
439,kegeyli shahar,28.3667,129.4833,16.51,56,3,6.88,JP,1704341129
442,plattsburgh,43.6475,111.9767,-7.55,78,8,11.15,CN,1704341130
444,nicoya,50.8552,0.5729,9.32,81,58,9.64,GB,1704341131
445,san antonio del estrecho,20.931,-17.0347,16.99,63,0,5.14,MR,1704341131
446,tanjung selor,6.3005,-10.7969,23.87,82,36,1.97,LR,1704341131
447,labasa,3.3803,-59.7968,26.8,57,5,5.85,GY,1704341131
448,konkwesso,62.7161,129.6658,-38.52,100,87,0.9,RU,1704341131
450,acapulco de juarez,68.799,16.5293,-13.75,63,29,1.46,NO,1704341132
451,gargalianoi,56.3161,116.0806,-20.85,90,93,0.5,RU,1704341132
452,olonets,67.2588,15.3918,-7.9,63,0,4.45,NO,1704341132
453,kimbe,47.0043,-65.4654,-5.14,95,48,1.41,CA,1704341132
456,caernarfon,41.9439,-85.6325,1.4,74,100,2.57,US,1704341133
457,ponta delgada,51.3789,0.5279,8.95,75,83,3.58,GB,1704341133
458,akrehamn,43.88,125.3228,-2.02,71,100,9.86,CN,1704341134
459,aitape,48.7509,24.3673,7.61,74,92,7.03,UA,1704341134
460,verkhnevilyuysk,54.0771,42.8372,-22.55,100,74,1.25,RU,1704341134
461,bikenibeu village,56.0901,8.244,-1.66,85,100,11.32,DK,1704341134
462,naze,63.1906,64.4162,-24.47,87,27,3.52,RU,1704341135
464,kutoarjo,24.9647,10.1728,11.64,41,87,2.08,LY,1704341135
465,erenhot,2.4803,96.3801,28.55,71,90,0.95,ID,1704341135
466,masuguru,36.7378,27.6842,16.53,73,77,8.35,TR,1704341135
467,hastings,54.5611,100.5792,-13.38,81,100,5.77,RU,1704341136
469,monrovia,32.6475,110.7781,14.12,42,0,2.06,CN,1704340958
470,lethem,39.0,-4.0,10.03,97,100,3.58,ES,1704341136
471,namtsy,50.6761,113.5931,-11.3,81,87,1.5,RU,1704341137
472,namibe,22.6783,-3.9836,17.33,19,97,4.69,ML,1704341137
473,harstad,55.3422,-131.6461,8.99,93,100,10.8,US,1704341137
474,kuanda,8.8908,126.3033,28.51,69,35,3.35,PH,1704341137
475,fauske,48.8002,-79.1996,-15.79,90,97,3.22,CA,1704341017
476,miramichi,48.0056,91.6419,-11.14,53,50,1.1,MN,1704341138
478,puerto aysen,11.1595,48.1967,23.55,63,6,1.87,SO,1704341138
480,chatham,53.6039,91.3903,-18.06,78,65,2.0,RU,1704341138
481,changchun,48.4001,-89.3168,-13.01,72,0,4.63,CA,1704340906
482,kosmach,10.2753,170.8646,26.97,76,39,10.13,MH,1704341139
484,ringkobing,30.5426,-9.7112,11.43,44,39,1.44,MA,1704341139
485,igrim,56.555,76.6271,-31.48,97,88,2.24,RU,1704341139
488,sinabang,56.3567,44.0669,-23.93,98,87,2.15,RU,1704341140
489,datca,30.8339,71.9053,14.36,29,25,1.18,PK,1704341140
490,tulun,54.3161,-130.3201,9.05,72,100,13.38,CA,1704340921
491,huarmey,41.7057,-70.2286,3.08,88,100,0.89,US,1704341141
492,shiyan,35.7646,-81.2731,5.2,73,100,2.06,US,1704341141
495,taoudenni,37.7733,-113.0244,-0.85,90,100,0.0,US,1704341141
496,ketchikan,36.6167,101.7667,-1.94,25,58,1.72,CN,1704341111
497,aras-asan,42.8675,130.3581,-2.04,70,47,0.77,CN,1704341142
498,la sarre,55.3166,85.9508,-24.31,77,20,2.0,RU,1704341142
499,khovd,6.3969,124.7225,31.68,59,17,0.92,PH,1704341142
501,las khorey,55.105,55.3508,-0.03,97,100,6.2,RU,1704341143
502,pangoa,16.1465,-13.5047,24.01,13,56,4.72,MR,1704341143
503,belyy yar,9.9399,76.2602,30.01,74,95,1.47,IN,1704340862
504,thunder bay,35.6127,-77.3663,8.09,68,75,0.0,US,1704340857
505,mejit,27.1935,2.4607,12.07,33,0,4.58,DZ,1704341143
507,taghazout,23.0,-99.7167,9.61,90,1,1.91,MX,1704341144
508,kyshtovka,51.221,18.5696,7.21,90,100,6.16,PL,1704341144
509,magomeni,35.5333,134.8333,9.03,81,75,1.03,JP,1704341144
510,mont-dore,58.3353,44.7619,-21.79,89,97,3.73,RU,1704341145
511,bor,29.5,38.75,10.22,65,0,3.08,SA,1704341145
512,garh maharaja,30.4062,19.5739,16.66,76,1,5.06,LY,1704341145
513,prince rupert,43.826,-111.7897,-1.92,70,20,0.0,US,1704340970
514,yarmouth,49.1447,56.4872,0.5,91,100,3.76,KZ,1704341146
516,mafinga,8.1222,-63.5497,25.85,66,6,5.49,VE,1704341146
517,sao desiderio,12.4833,-13.3,20.84,72,7,1.8,GN,1704341146
518,enoch,32.8663,59.2211,4.26,81,75,5.14,IR,1704341146
519,sonsorol village,40.2019,-100.6257,-0.97,88,100,3.6,US,1704341114
521,hunchun,15.7333,-96.4667,21.93,71,15,1.54,MX,1704341147
524,manokwari,47.475,101.4542,-14.18,69,71,2.2,MN,1704341148
525,fuvahmulah,13.8562,-61.0566,26.78,86,20,5.14,LC,1704341148
526,kushnarenkovo,22.0167,82.4333,21.97,41,0,1.33,IN,1704341148
528,cochin,41.25,31.8333,7.74,85,97,2.55,TR,1704341148
530,i-n-salah,22.456,113.0482,19.44,43,72,3.03,CN,1704341149
531,bengkulu,41.7597,86.1469,-2.43,57,78,1.49,CN,1704341149
532,ciudad tula,2.7746,32.299,20.53,42,24,1.49,UG,1704341149
533,wielun,46.3317,132.2111,-7.3,85,48,3.94,CN,1704341149
534,toyooka,44.9901,-123.0262,8.38,84,100,5.14,US,1704341150
535,sormiou,60.1545,-1.1494,3.0,93,100,13.35,GB,1704341150
536,vingt cinq,39.5347,-107.7831,2.39,66,100,0.45,US,1704341150
537,manturovo,66.9395,-53.6735,-7.29,75,100,4.71,GL,1704341151
538,al jawf,40.8994,68.3611,6.92,45,100,5.75,KZ,1704341151
539,al burayqah,8.9322,165.7642,27.57,80,68,9.48,MH,1704341151
541,shubarkuduk,67.4667,78.7,-18.44,95,100,6.3,RU,1704341151
544,koundara,22.7187,-12.4521,16.58,23,0,3.26,MR,1704341152
545,birjand,35.5022,112.8328,7.54,28,0,3.74,CN,1704341152
546,mccook,41.5388,-8.6151,10.51,95,82,2.04,PT,1704341152
547,urbano santos,65.2653,-14.3948,-1.05,100,100,1.03,IS,1704341153
548,san pedro pochutla,17.7167,79.1833,22.3,64,48,4.32,IN,1704341153
549,santo antonio do leverger,32.7,-16.7667,19.28,89,40,1.03,PT,1704341153
551,tsetserleg,17.9583,-102.2,22.14,81,61,1.92,MX,1704341153
552,soufriere,62.59,50.8594,-33.44,100,80,0.88,RU,1704341154
553,akaltara,33.1812,-102.2744,3.3,56,1,3.68,US,1704341154
554,boca do acre,7.2833,81.6667,27.59,74,47,2.65,LK,1704341154
555,zonguldak,37.05,11.0144,14.01,60,9,6.31,TN,1704341154
556,hayma',34.0175,119.1886,9.37,43,0,6.23,CN,1704341154
557,prado,6.4965,2.6036,26.12,86,26,2.8,BJ,1704341049
560,gulu,20.8624,92.3058,22.38,61,1,1.86,BD,1704341155
561,baoqing,46.6311,37.8039,5.79,97,100,8.21,RU,1704341155
562,keizer,11.7,92.7167,29.05,74,40,4.12,IN,1704341156
564,rifle,42.9333,89.1667,0.96,45,6,0.24,CN,1704341156
565,sisimiut,39.8121,-121.5783,3.4,95,51,0.89,US,1704341156
