City_ID,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,severo-yeniseyskiy,-15.2119,-75.1103,19.56,79,100,0.91,PE,1704341077
225,gualan,-21.2418,55.3394,28.05,66,100,2.06,RE,1704341077
226,camuy,-10.2621,29.9271,17.3,96,100,2.09,ZM,1704341077
228,borogontsy,-32.035,-52.0986,22.19,76,1,8.11,BR,1704340436
229,jaisalmer,-43.5333,172.6333,25.85,62,98,7.72,NZ,1704340749
232,les avirons,-12.0667,-77.15,23.73,73,0,6.17,PE,1704341078
234,hamilton,-31.95,141.4333,29.53,43,100,5.19,AU,1704341079
241,broken hill,-37.6167,-73.65,14.38,82,93,6.93,CL,1704341080
242,phan thiet,-7.1475,111.5906,28.05,79,100,1.49,ID,1704341081
244,qamdo,-0.9,-89.6,24.52,86,51,4.42,EC,1704341081
246,nuuk,-19.5314,-54.0439,23.83,88,100,0.31,BR,1704341081
249,lebu,-33.918,25.5701,19.5,93,75,1.03,ZA,1704340806
251,simanggang,-9.3852,-171.2468,28.97,74,81,4.68,TK,1704341083
255,kuybyshev,-34.1667,-53.8333,19.06,86,5,3.93,UY,1704341083
256,ivdel',-43.3002,-65.1023,23.55,48,100,5.21,AR,1704340969
260,engel's,-29.7831,-55.7919,19.63,95,0,5.08,BR,1704341085
262,chernyshevskiy,-17.75,-149.2833,25.93,85,100,5.76,PF,1704341085
263,castillos,-6.3424,106.1045,25.29,90,100,1.94,ID,1704341085
269,alegrete,-8.0089,-34.8553,27.85,78,40,2.57,BR,1704341086
270,huazhou,-21.3393,55.4781,29.82,66,100,2.06,RE,1704341086
274,al kharijah,-10.7073,22.2247,17.66,98,100,1.01,AO,1704341087
275,patamundai,-38.0023,-57.5575,20.61,92,40,3.58,AR,1704341088
277,guerrero negro,-42.7692,-65.0385,23.2,60,100,10.93,AR,1704341088
278,cargados carajos,-39.0667,174.0833,19.89,62,72,4.75,NZ,1704341088
280,saint-pierre,-31.4333,152.9167,29.38,45,100,4.01,AU,1704341088
282,kataragama,-23.35,43.6667,25.25,83,2,3.45,MG,1704341089
284,enumclaw,-20.1167,16.15,21.54,73,90,3.26,,1704340889
285,luau,-7.3,-70.2167,22.99,99,98,1.19,BR,1704341089
287,baise city,-15.7667,128.7333,35.99,44,80,2.57,AU,1704341090
288,puerto madryn,-10.8368,-65.3614,22.99,98,100,0.83,BO,1704341090
295,outjo,-17.75,-149.55,26.82,76,100,2.0,PF,1704341091
298,kununurra,-8.103,156.8419,29.22,75,100,3.53,SB,1704341092
300,cabo san lucas,-18.0667,44.0167,27.74,78,100,3.19,MG,1704341093
301,hami,-1.8283,-44.8683,23.82,98,45,0.83,BR,1704341093
309,isle of lewis,-9.8607,124.284,32.17,40,73,2.84,ID,1704341095
314,conception bay south,-34.0033,24.7314,17.71,91,99,3.8,ZA,1704341096
319,katsuura,-28.0283,-54.3497,18.31,97,0,2.04,BR,1704340814
324,les cayes,-0.3582,42.5454,25.48,81,15,3.39,SO,1704341097
328,shimoga,-2.0078,-54.0692,24.09,89,83,2.31,BR,1704340926
329,mersa matruh,-13.2816,-176.1745,29.05,73,58,4.28,WF,1704341098
330,daloa,-20.7377,116.8463,25.43,78,0,5.13,AU,1704341099
336,suwayr,-4.4553,-43.8856,23.97,94,88,1.11,BR,1704341022
340,haiku-pauwela,-2.0667,105.1833,26.19,86,100,8.11,ID,1704341101
342,ordos,-20.4422,-54.8603,24.84,94,0,1.54,BR,1704341101
344,monte alegre,-6.1219,141.2906,28.78,83,99,1.8,PG,1704341102
350,usogorsk,-30.1811,-50.2056,20.54,90,50,3.8,BR,1704340946
351,gallivare,-37.9585,176.9854,23.27,63,36,3.91,NZ,1704341104
352,grande prairie,-19.8,-174.35,30.06,70,75,6.69,TO,1704341105
357,tezu,-33.0153,27.9116,18.52,100,100,5.14,ZA,1704341107
364,enterprise,-16.92,35.262,22.5,96,80,0.81,MW,1704341109
368,hoopeston,-22.6833,14.5333,18.29,94,88,1.41,,1704341111
380,kidal,-32.25,148.6167,33.07,35,75,4.63,AU,1704340964
382,wad rawah,-6.2132,155.5367,29.36,83,70,1.37,PG,1704341115
383,nsanje,-13.7,-76.2167,22.03,83,40,6.69,PE,1704341115
390,mogocha,-5.1347,-49.3267,26.18,97,99,1.56,BR,1704341117
395,campbell river,-12.4611,130.8418,37.25,56,75,2.57,AU,1704341064
399,dubbo,-7.9631,145.7785,29.37,78,98,3.06,PG,1704341120
401,arawa,-3.5029,38.3795,21.08,89,24,2.14,KE,1704341120
403,portland,-17.8,-63.1667,24.7,88,75,4.12,BO,1704341121
404,berezovo,-23.5333,148.1667,34.63,40,44,3.29,AU,1704341121
413,arar,-14.2667,50.1667,27.2,78,73,1.4,MG,1704341123
416,nemuro,-5.5569,-80.8222,23.49,76,98,5.23,PE,1704341124
424,emerald,-16.4167,179.3833,28.52,77,68,1.44,FJ,1704341126
426,suntar,-37.8333,147.6167,18.59,93,100,3.32,AU,1704341126
430,yorkton,-5.5502,150.1429,30.54,72,99,2.87,PG,1704341127
436,st albans,-3.1374,142.3475,29.8,72,100,2.15,PG,1704341129
440,cestos city,-12.1629,-76.9635,22.87,78,100,2.69,PE,1704341129
441,nova sintra,-7.7169,109.9128,26.03,90,99,2.07,ID,1704341130
443,vegreville,-11.3667,38.4167,23.85,96,99,0.34,TZ,1704341130
449,bairnsdale,-15.1961,12.1522,20.91,76,38,3.89,AO,1704341132
454,ballymena,-17.7338,168.3219,26.78,100,100,3.6,VU,1704341133
455,kokkola,-45.4,-72.7,15.38,84,98,1.88,CL,1704341133
463,san juan de miraflores,-4.6719,11.8312,24.45,85,99,1.76,CG,1704341135
468,nouadhibou,-10.0681,-78.1522,22.33,85,92,2.57,PE,1704341136
477,port-vila,-14.2336,-169.5144,28.24,76,100,4.59,AS,1704341138
479,three rivers,-12.1167,-73.0,20.89,98,100,1.31,PE,1704341138
483,zubova polyana,-4.3167,20.5833,20.86,99,98,0.6,CD,1704341139
486,loango,-6.8,39.25,26.21,89,75,2.06,TZ,1704341140
487,ghat,-22.2833,166.5833,34.99,92,21,6.74,NC,1704341140
493,ciudad real,-7.25,35.0667,19.65,95,100,1.7,TZ,1704341141
494,dul'durga,-12.3633,-44.9733,21.58,97,100,0.98,BR,1704340944
500,ta`u,-0.8667,134.0833,29.06,72,86,2.04,ID,1704341142
